FIRST,LAST,AGE,HOBBY,CLASS,EXAM_1_GRADE,EXAM_2_GRADE,EXAM_3_GRADE,EXAM_4_GRADE
Bil,Westerfield,14,Basketball,Physics,98,25,51,32
Bil,Westerfield,14,Basketball,Chemistry,34,63,53,20
Bil,Westerfield,14,Basketball,Calculus,86,38,33,1
Bil,Westerfield,14,Basketball,World History,57,50,96,17
Bil,Westerfield,14,Basketball,American History,29,47,26,95
Bil,Westerfield,14,Basketball,Biology,7,86,83,62
Bill,Edwards,16,Dance,Physics,81,3,29,35
Bill,Edwards,16,Dance,Chemistry,67,19,62,86
Bill,Edwards,16,Dance,Calculus,75,49,82,18
Bill,Edwards,16,Dance,World History,1,79,31,16
Bill,Edwards,16,Dance,American History,83,24,74,37
Bill,Edwards,16,Dance,Biology,44,90,72,38
David,Chen,14,Football,Physics,90,5,19,81
David,Chen,14,Football,Chemistry,80,70,47,81
David,Chen,14,Football,Calculus,66,30,99,90
David,Chen,14,Football,World History,45,28,39,47
David,Chen,14,Football,American History,35,85,0,70
David,Chen,14,Football,Biology,57,64,53,30
William,Chen,16,Dance,Physics,56,67,67,70
William,Chen,16,Dance,Chemistry,10,77,76,38
William,Chen,16,Dance,Calculus,13,66,61,57
William,Chen,16,Dance,World History,18,54,20,68
William,Chen,16,Dance,American History,3,83,61,29
William,Chen,16,Dance,Biology,31,63,77,28
Rafferty,Russell,16,Band,Physics,1,9,61,27
Rafferty,Russell,16,Band,Chemistry,3,29,5,54
Rafferty,Russell,16,Band,Calculus,80,33,10,88
Rafferty,Russell,16,Band,World History,70,95,19,0
Rafferty,Russell,16,Band,American History,90,2,61,54
Rafferty,Russell,16,Band,Biology,45,3,3,12
Laura,Hunt,14,Starcraft,Physics,76,76,43,19
Laura,Hunt,14,Starcraft,Chemistry,75,92,86,34
Laura,Hunt,14,Starcraft,Calculus,9,99,94,46
Laura,Hunt,14,Starcraft,World History,62,59,89,89
Laura,Hunt,14,Starcraft,American History,76,90,33,80
Laura,Hunt,14,Starcraft,Biology,8,2,89,17
John,Cena,16,Band,Physics,87,23,27,48
John,Cena,16,Band,Chemistry,77,100,18,12
John,Cena,16,Band,Calculus,4,96,98,29
John,Cena,16,Band,World History,55,11,31,89
John,Cena,16,Band,American History,9,95,2,86
John,Cena,16,Band,Biology,3,43,35,100
